age,gender,education,income,bureau_score,util_last_m1,util_last_m2,util_last_m3,util_current,loan_amt,loan_to_income_ratio,active_loans,default
59,male,graduate school,471,547,0.183,0.43,0.22,0.504,1322,2.807,10,0
49,female,high school,1755,514,0.394,0.627,0.602,0.578,1010,0.575,10,0
35,male,university,1523,734,0.089,0.446,0.272,0.219,1886,1.238,6,0
63,female,university,625,711,0.324,0.071,0.195,0.25,481,0.77,4,0
28,male,university,245,533,0.36,0.388,0.369,0.185,1649,6.731,6,0
41,male,university,294,559,0.119,0.22,0.311,0,1133,3.854,1,0
59,female,graduate school,263,689,0.262,0.193,0.096,0,708,2.692,0,0
39,male,graduate school,612,501,0.114,0.152,0.174,0,1516,2.477,9,0
43,male,others,1866,735,0.448,0.26,0.185,0.227,1883,1.009,6,0
31,male,university,1232,579,0.369,0.385,0.451,0.689,1942,1.576,4,1
31,female,high school,658,518,0.137,0.128,0.291,0.197,64,0.097,6,0
44,male,others,1938,725,0.298,0.288,0.192,0.384,1380,0.712,0,0
56,male,university,1632,548,0.379,0.179,0.183,0.23,1411,0.865,6,0
60,male,university,669,577,0.343,0.201,0.412,0.184,942,1.408,0,0
44,male,university,1009,715,0.082,0.199,0.323,0.126,257,0.255,2,1
23,male,others,705,527,0.099,0.525,0.158,0.115,1364,1.935,2,0
42,male,others,1909,547,0.353,0.187,0.112,0,1389,0.728,2,0
22,female,university,1296,595,0.132,0.117,0.165,0.278,1176,0.907,4,0
44,female,high school,283,664,0.512,0.336,0.253,0.315,1340,4.735,1,0
64,male,graduate school,258,701,0.205,0.312,0.222,0.069,1464,5.674,0,0
50,female,others,1244,676,0.307,0.235,0.391,0.347,719,0.578,5,0
58,female,others,1681,608,0.276,0.383,0.148,0.451,607,0.361,9,1
22,male,graduate school,1117,675,0.32,0.393,0.337,0.178,1334,1.194,9,0
41,female,university,356,572,0.262,0.09,0.005,0.316,1139,3.199,3,0
53,female,graduate school,1552,715,0.568,0.293,0.276,0.408,1886,1.215,0,0
32,female,university,1796,599,0.231,0.262,0.173,0.411,562,0.313,8,1
42,female,high school,775,747,0.293,0.228,0.128,0.485,1968,2.539,6,0
64,female,university,1036,528,0.569,0.042,0.548,0.133,452,0.436,5,0
45,female,graduate school,879,687,0.216,0.03,0.283,0,1640,1.866,3,0
69,female,university,402,656,0.249,0.215,0.742,0.27,674,1.677,6,0
47,female,others,1864,557,0.135,0.222,0.16,0.097,224,0.12,6,0
62,male,university,1980,547,0.37,0.204,0.507,0.412,1736,0.877,10,0
48,male,university,1329,522,0.401,0.532,0.133,0.419,1239,0.932,7,0
36,female,graduate school,1345,526,0.047,0.5,0.288,0.694,1345,1,8,1
35,female,others,517,722,0.534,0.111,0.048,0,63,0.122,9,1
67,male,high school,1405,734,0.634,0.396,0.255,0.465,1323,0.942,0,1
64,female,university,1838,506,0.209,0.238,0.35,0.453,311,0.169,2,0
23,female,graduate school,1539,548,0.23,0.234,0.095,0,309,0.201,5,0
57,male,graduate school,1996,681,0.157,0.283,0.36,0.178,1910,0.957,4,0
27,male,graduate school,1848,608,0.179,0.207,0.49,0.533,852,0.461,9,1
41,male,university,605,567,0.253,0.127,0.242,0,715,1.182,8,0
29,female,others,1185,705,0.425,0.333,0.179,0.41,1466,1.237,9,1
59,female,university,1148,733,0.428,0.27,0.294,0.606,296,0.258,10,1
38,male,high school,1293,669,0.436,0.447,0.333,0,246,0.19,1,0
24,male,university,1383,701,0.321,0.432,0.264,0.227,1738,1.257,3,0
45,female,high school,1463,686,0.315,0.148,0.2,0.549,862,0.589,10,1
34,male,high school,1746,671,0.165,0.2,0.135,0.27,1155,0.662,4,1
29,female,graduate school,1361,725,0.051,0.203,0.156,0.187,1943,1.428,5,0
46,female,university,694,653,0.061,0.034,0.265,0.311,1231,1.774,9,0
22,male,university,878,650,0.651,0.422,0.271,0.232,109,0.124,2,0
40,male,graduate school,1470,572,0.175,0.124,0.288,0.112,1873,1.274,1,0
48,female,university,1766,600,0.299,0.635,0.074,0.298,148,0.084,10,0
